11.01.10.2012,Ie Mirah,4,11.01.10
11.01.10.2013,Pasie Rasian,4,11.01.10
11.01.10.2014,Ujung Padang Rasian,4,11.01.10
11.01.10.2015,Krueng Kalee,4,11.01.10
11.01.10.2016,Lhok Sialang Rayeuk,4,11.01.10
11.01.10.2017,Gampong Baro,4,11.01.10
11.01.10.2018,Teupin Gajah,4,11.01.10
11.01.10.2019,Ujung Padang Asahan,4,11.01.10
11.01.10.2020,Pulo Ie II,4,11.01.10
11.01.10.2021,Pante Raja,4,11.01.10
11.01.11,Labuhanhaji Timur,3,11.01
11.01.11.2001,Tengah Peulumat,4,11.01.11
11.01.11.2002,Paya Peulumat,4,11.01.11
11.01.11.2003,Padang Peulumat,4,11.01.11
11.01.11.2004,Aur Peulumat,4,11.01.11
11.01.11.2005,Limau Saring,4,11.01.11
11.01.11.2006,Beutong,4,11.01.11
11.01.11.2007,Peuneulop,4,11.01.11
11.01.11.2008,Gunung Rotan,4,11.01.11
11.01.11.2009,Keumumu Hilir,4,11.01.11
11.01.11.2010,Keumumu Hulu,4,11.01.11
11.01.11.2011,Keumumu Seberang,4,11.01.11
11.01.11.2012,Sawang Indah,4,11.01.11
11.01.12,Labuhanhaji Barat,3,11.01
11.01.12.2001,Tutong,4,11.01.12
11.01.12.2002,Teungoh Iboh,4,11.01.12
11.01.12.2003,Peulokan,4,11.01.12
11.01.12.2004,Kuta Iboh,4,11.01.12
11.01.12.2005,Ujung Padang,4,11.01.12
11.01.12.2006,Blang Baru,4,11.01.12
11.01.12.2007,Blang Poroh,4,11.01.12
11.01.12.2008,Pulo Ie,4,11.01.12
11.01.12.2009,Suak Lokan,4,11.01.12
11.01.12.2010,Iku Lhueng,4,11.01.12
11.01.12.2011,Kuta Trieng,4,11.01.12
11.01.12.2012,Pante Geulima,4,11.01.12
11.01.12.2013,Panton Pawoh,4,11.01.12
11.01.12.2014,Batee Meucanang,4,11.01.12
11.01.12.2015,Panton Rubek,4,11.01.12
11.01.13,Kluet Tengah,3,11.01
11.01.13.2001,Koto,4,11.01.13
11.01.13.2002,Alur Keujrun,4,11.01.13
11.01.13.2003,Jambo Papan,4,11.01.13
11.01.13.2004,Malaka,4,11.01.13
11.01.13.2005,Koto Indarung,4,11.01.13
11.01.13.2006,Siurai-Urai,4,11.01.13
11.01.13.2007,Kampung Sawah,4,11.01.13
11.01.13.2008,Kampung Padang,4,11.01.13
11.01.13.2009,Pulo Air,4,11.01.13
11.01.13.2010,Lawe Melang,4,11.01.13
11.01.13.2011,Mersak,4,11.01.13
11.01.13.2012,Simpang Dua,4,11.01.13
11.01.13.2013,Simpang Tiga,4,11.01.13
11.01.14,Kluet Timur,3,11.01
11.01.14.2001,Paya Dapur,4,11.01.14
11.01.14.2002,Sapik,4,11.01.14
11.01.14.2003,Alai,4,11.01.14
11.01.14.2004,Durian Kawan,4,11.01.14
11.01.14.2005,Lawe Sawah,4,11.01.14
11.01.14.2006,Lawe Buluh Didi,4,11.01.14
11.01.14.2007,Pucuk Lembang,4,11.01.14
11.01.14.2008,Paya Laba,4,11.01.14
11.01.14.2009,Lawe Cimanok,4,11.01.14
11.01.15,Bakongan Timur,3,11.01
11.01.15.2001,Pasie Seubadeh,4,11.01.15
11.01.15.2002,Ladang Rimba,4,11.01.15
11.01.15.2003,Ujong Pulo Rayeuk,4,11.01.15
11.01.15.2004,Sawah Tingkeum,4,11.01.15
11.01.15.2005,Simpang,4,11.01.15
11.01.15.2006,Ujong Pulo Cut,4,11.01.15
11.01.15.2008,Seuleukat,4,11.01.15
11.01.16,Trumon Timur,3,11.01
11.01.16.2005,Pinto Rimba,4,11.01.16
11.01.16.2006,Krueng Luas,4,11.01.16
11.01.16.2007,Jambo Dalem,4,11.01.16
11.01.16.2008,Kapa Sesak,4,11.01.16
11.01.16.2009,Seuneubok Punto,4,11.01.16
11.01.16.2010,Seuneubok Pusaka,4,11.01.16
11.01.16.2011,Alur Bujok,4,11.01.16
11.01.16.2012,Titi Poben,4,11.01.16
11.01.17,Kota Bahagia,3,11.01
11.01.17.2001,Buket Gadeng,4,11.01.17
11.01.17.2002,Rambong,4,11.01.17
11.01.17.2003,Seuneubok Keuranji,4,11.01.17
11.01.17.2004,Seuneubok Alur Buloh,4,11.01.17
11.01.17.2005,Ujong Tanoh,4,11.01.17
11.01.17.2006,Ujong Gunong Cut,4,11.01.17
11.01.17.2007,Ujong Gunung Rayeuk,4,11.01.17
11.01.17.2008,Beutong,4,11.01.17
11.01.17.2009,Jambo Keupok,4,11.01.17
11.01.17.2010,Alurduamas,4,11.01.17
11.01.18,Trumon Tengah,3,11.01
11.01.18.2001,Ladang Rimba,4,11.01.18
11.01.18.2002,Gunong Kapho,4,11.01.18
11.01.18.2003,Kampong Teungoh,4,11.01.18
11.01.18.2004,Krueng Batee,4,11.01.18
11.01.18.2005,Pulo Paya,4,11.01.18
11.01.18.2006,Jambo Papeun,4,11.01.18
11.01.18.2007,Cot Bayu,4,11.01.18
11.01.18.2008,Naca,4,11.01.18
11.01.18.2009,Ie Jeureuneh,4,11.01.18
11.01.18.2010,Lhok Raya,4,11.01.18
11.02,Kabupaten Aceh Tenggara,2,11
11.02.01,Lawe Alas,3,11.02
11.02.01.2001,Engkeran,4,11.02.01
11.02.01.2002,Rumah Kampung,4,11.02.01
11.02.01.2004,Pasir Bangun,4,11.02.01
11.02.01.2006,Kubu,4,11.02.01
11.02.01.2007,Lawe Kongker,4,11.02.01
11.02.01.2008,Kuta Cingkam II,4,11.02.01
11.02.01.2009,Muara Baru,4,11.02.01
11.02.01.2011,Kuta Batu I,4,11.02.01
11.02.01.2012,Kuta Cingkam I,4,11.02.01
11.02.01.2013,Kuta Batu II,4,11.02.01
11.02.01.2014,Lawe Sempilang,4,11.02.01
11.02.01.2015,Prapat Batu Nunggul,4,11.02.01
11.02.01.2016,Pulo Sepang,4,11.02.01
11.02.01.2017,Rih Mbelang,4,11.02.01
11.02.01.2018,Kute Batu Baru,4,11.02.01
11.02.01.2019,Darul Amin,4,11.02.01
11.02.01.2020,Lawe Lubang Indah,4,11.02.01
11.02.01.2021,Batu Hamparan,4,11.02.01
11.02.01.2022,Paye Munje,4,11.02.01
11.02.01.2023,Pulo Ndadap,4,11.02.01
11.02.01.2024,Pasir Nunggul,4,11.02.01
11.02.01.2025,Cingkham Mekhanggun,4,11.02.01
11.02.01.2026,Pintu Khimbe,4,11.02.01
11.02.01.2027,Lawe Kongker Hilir,4,11.02.01
11.02.01.2028,Pulo Gadung,4,11.02.01
11.02.01.2029,Pasikh Pehkmate,4,11.02.01
11.02.01.2030,Pasikh Nunang,4,11.02.01
11.02.01.2031,Deleng Kukusen,4,11.02.01
11.02.02,Lawe Sigala-Gala,3,11.02
11.02.02.2001,Bukit Merdeka,4,11.02.02
11.02.02.2002,Darul Aman,4,11.02.02
11.02.02.2003,Lawe Kesumpat,4,11.02.02
11.02.02.2004,Lawe Tua Gabungan,4,11.02.02
11.02.02.2005,Lawe Sigala II,4,11.02.02
11.02.02.2006,Lawe Sigala Timur,4,11.02.02
11.02.02.2007,Lawe Sigala Barat,4,11.02.02
11.02.02.2008,Suka Damai,4,11.02.02
11.02.02.2009,Kute Tengah,4,11.02.02
11.02.02.2010,Tanah Baru,4,11.02.02
11.02.02.2011,Kedataran Gabungan,4,11.02.02
11.02.02.2012,Gabungan Parsaroan,4,11.02.02
11.02.02.2013,Lawe Loning Gabungan,4,11.02.02
11.02.02.2014,Lawe Loning Aman,4,11.02.02
11.02.02.2015,Suka Maju,4,11.02.02
11.02.02.2016,Lawe Tua Makmur,4,11.02.02
11.02.02.2017,Lawe Tua Persatuan,4,11.02.02
11.02.02.2018,Lawe Serke,4,11.02.02
11.02.02.2019,Lawe Rakat,4,11.02.02
11.02.02.2020,Suka Jaya,4,11.02.02
11.02.02.2021,Enmiya Batu Dua Ratus,4,11.02.02
11.02.02.2022,Sebungke,4,11.02.02
11.02.02.2023,Bukit Sepakat,4,11.02.02
11.02.02.2024,Lawe Loning Sepakat,4,11.02.02
11.02.02.2025,Lawe Loning I,4,11.02.02
11.02.02.2026,Gaya Jaya,4,11.02.02
11.02.02.2027,Gelah Musara,4,11.02.02
11.02.02.2028,Mulie Dame,4,11.02.02
11.02.02.2029,Lawe Loning Hakhapen,4,11.02.02
11.02.02.2030,Karya Indah,4,11.02.02
11.02.02.2031,Kayu Mbelin,4,11.02.02
11.02.02.2032,Lawe Sigala Barat Jaya,4,11.02.02
11.02.02.2033,Lawe Pekhidinen,4,11.02.02
11.02.02.2034,Kertimbang,4,11.02.02
11.02.02.2035,Ndauh Nitenggo,4,11.02.02
11.02.03,Bambel,3,11.02
11.02.03.2001,Bambel Gabungan,4,11.02.03
11.02.03.2002,Kuta Buluh,4,11.02.03
11.02.03.2005,Lawe Hijo,4,11.02.03
11.02.03.2006,Pinding,4,11.02.03
11.02.03.2009,Terutung Megara Asli,4,11.02.03
11.02.03.2011,Biak Muli,4,11.02.03
11.02.03.2012,Kute Lang-Lang,4,11.02.03
11.02.03.2013,Pedesi,4,11.02.03
11.02.03.2014,Terutung Payung Hulu,4,11.02.03
11.02.03.2015,Terutung Payung Hilir,4,11.02.03
11.02.03.2016,Tualang Sembilar,4,11.02.03
11.02.03.2017,Kuning I,4,11.02.03
11.02.03.2018,Kuning II,4,11.02.03
11.02.03.2019,Cinta Damai,4,11.02.03
11.02.03.2020,Likat,4,11.02.03
11.02.03.2021,Rikit,4,11.02.03
11.02.03.2023,Bambel,4,11.02.03
11.02.03.2025,Lawe Kihing,4,11.02.03
11.02.03.2026,Terutung Seperai,4,11.02.03
11.02.03.2027,Kute Seri,4,11.02.03
11.02.03.2028,Kuta Antara,4,11.02.03
11.02.03.2029,Pulo Perengge,4,11.02.03
11.02.03.2031,Pulo Kendondong,4,11.02.03
11.02.03.2033,Pancakh Iman,4,11.02.03
11.02.03.2034,Biak Muli Baru,4,11.02.03
11.02.03.2035,Biak Muli Pantai Raja,4,11.02.03
11.02.03.2036,Biak Muli Sejahtera,4,11.02.03
11.02.03.2037,Lembah Haji,4,11.02.03
11.02.03.2038,Terutung Payung Gabungan,4,11.02.03
11.02.03.2039,Lawe Hijo Metuah,4,11.02.03
11.02.03.2040,Ampera,4,11.02.03
11.02.03.2041,Tembilakh Mbakhu,4,11.02.03
11.02.03.2042,Kute Lang-Lang Bakhu,4,11.02.03
11.02.04,Babussalam,3,11.02
11.02.04.2001,Kota Kutacane,4,11.02.04
11.02.04.2002,Perapat Hilir,4,11.02.04
11.02.04.2003,Perapat Hulu,4,11.02.04
11.02.04.2004,Muara Lawe Bulan,4,11.02.04
11.02.04.2005,Mbarung,4,11.02.04
11.02.04.2006,Batu Mbulan Asli,4,11.02.04
11.02.04.2007,Batu Mbulan I,4,11.02.04
11.02.04.2008,Batu Mbulan II,4,11.02.04
11.02.04.2009,Kampung Raja,4,11.02.04
11.02.04.2010,Pulonas,4,11.02.04
11.02.04.2011,Kampung Melayu Gabungan,4,11.02.04
11.02.04.2012,Terutung Pedi,4,11.02.04
11.02.04.2013,Kute Rih,4,11.02.04
11.02.04.2014,Gumpang Jaya,4,11.02.04
11.02.04.2015,Pulo Latong,4,11.02.04
11.02.04.2016,Kutacane Lama,4,11.02.04
11.02.04.2017,Batu Mbulan Mbaru,4,11.02.04
11.02.04.2018,Pulo Peding,4,11.02.04
11.02.04.2019,Mendabe,4,11.02.04
11.02.04.2020,Ujung Barat,4,11.02.04
11.02.04.2021,Pekhapat Titi Panjang,4,11.02.04
11.02.04.2022,Pekhapat Sepakat,4,11.02.04
11.02.04.2023,Alas Marancar,4,11.02.04
11.02.04.2024,Batu Mbulan Sepakat,4,11.02.04
11.02.04.2025,Pulo Sanggakh,4,11.02.04
11.02.04.2026,Melayu I,4,11.02.04
11.02.04.2027,Mbarung Datuk Saudane,4,11.02.04
11.02.05,Badar,3,11.02
11.02.05.2005,Salang Alas,4,11.02.05
11.02.05.2009,Kuta Pasir,4,11.02.05
11.02.05.2011,Purwodadi,4,11.02.05
11.02.05.2012,Kuta Tinggi,4,11.02.05
11.02.05.2013,Kampung Baru,4,11.02.05
11.02.05.2014,Peranginan,4,11.02.05
11.02.05.2015,Natam,4,11.02.05
11.02.05.2025,Kumbang Jaya,4,11.02.05
11.02.05.2026,Kumbang Indah,4,11.02.05
11.02.05.2027,Natam Baru,4,11.02.05
11.02.05.2029,Deleng Megakhe,4,11.02.05
11.02.05.2030,Lawe Bekung,4,11.02.05
11.02.05.2031,Lawe Bekung Tampahan,4,11.02.05
11.02.05.2032,Badar Indah,4,11.02.05
11.02.05.2033,Batu Mbekhong,4,11.02.05
11.02.05.2034,Tanah Merah,4,11.02.05
11.02.05.2035,Tanoh Megakhe,4,11.02.05
11.02.05.2036,Lawe Sekerah,4,11.02.05
11.02.06,Babul Makmur,3,11.02
11.02.06.2001,Pardomuan II,4,11.02.06
11.02.06.2002,Lawe Desky I,4,11.02.06
11.02.06.2003,Lawe Desky Sabas,4,11.02.06
